,Регион,Год,Сельское хозяйство,Добыча полезных ископаемых,Обрабатывающие производства,Обеспечение электрической энергией,Строительство,Торговля,Транспортировка и хранение,Связь и информация,Финансы и страхование
1,г. Москва,2015,15.5,8.2,726.5,67.5,963.8,2012.4,566.8,297.8,492.6
2,г. Москва,2016,16.6,8.6,761.5,76.3,932.5,1986.4,591.3,324.6,498.5
3,г. Москва,2017,17.2,9.0,787.0,74.9,954.2,2045.6,605.2,332.5,507.6
4,г. Москва,2018,15.8,11.1,763.3,77.7,1040.2,2078.6,661.3,364.5,495.6
5,г. Москва,2019,17.4,13.1,733.3,76.5,1091.1,2048.0,677.6,365.5,500.9
6,г. Москва,2020,17.3,14.3,757.6,82.6,1043.0,1919.3,689.5,378.2,475.1
8,Российская Федерация,2015,5507.0,1103.0,10168.0,1671.0,6384.0,13482.0,5250.0,1373.0,1442.0
9,Российская Федерация,2016,5482.0,1118.0,10117.0,1663.0,6205.0,13494.0,5252.0,1413.0,1436.0
10,Российская Федерация,2017,5075.0,1127.0,10173.0,1632.0,6319.0,13686.0,5240.0,1447.0,1423.0
11,Российская Федерация,2018,4937.0,1142.0,10067.0,1622.0,6391.0,13670.0,5353.0,1464.0,1386.0
12,Российская Федерация,2019,4781.0,1153.0,9963.0,1607.0,6416.0,13497.0,5373.0,1474.0,1369.0
13,Российская Федерация,2020,4554.0,1143.0,9713.0,1588.0,6157.0,13046.0,5440.0,1495.0,1316.0
